Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-November-2017,711.00,712.80,703.85,707.75,707.704756547364114627,156437,1911,110711209.00,44767,28.62,8.95,-3.25
23-November-2017,714.00,715.70,706.75,711.25,711.551050091197532095,170509,2608,121325858.00,24623,14.44,8.95,-2.75
22-November-2017,715.00,716.85,706.60,711.60,710.759583613779599828,261488,3079,185855102.00,57781,22.10,10.25,-3.40
21-November-2017,702.20,717.95,702.20,711.25,712.994287844992374059,445191,5466,317418640.00,147531,33.14,15.75,9.05
20-November-2017,699.80,706.80,690.55,700.70,698.912613749584855529,225825,3183,157831941.00,28953,12.82,16.25,0.90
17-November-2017,692.00,708.50,692.00,701.35,703.880065398399688166,461785,4537,325041256.00,89149,19.31,16.50,9.35
16-November-2017,681.20,689.90,676.60,686.65,682.719537214542763932,297330,3598,202993000.00,61848,20.80,13.30,5.45
15-November-2017,680.30,681.90,669.70,678.05,674.804829259558809910,647884,5285,437195252.00,344012,53.10,12.20,-2.25
14-November-2017,690.00,695.00,681.40,685.20,689.311854316231833304,205596,4126,141719760.00,72147,35.09,13.60,-4.80
13-November-2017,707.00,707.00,687.00,690.85,691.749354849863111871,318143,5311,220075215.00,116890,36.74,20.00,-16.15
10-November-2017,702.80,707.65,695.25,701.45,701.903940347583308607,205591,2888,144305133.00,30626,14.90,12.40,-1.35
9-November-2017,698.00,705.00,693.70,703.30,700.470368257881712219,217402,3348,152283659.00,46415,21.35,11.30,5.30
8-November-2017,694.80,700.50,685.00,691.80,691.741046682833881863,277104,7607,191684211.00,57846,20.88,15.50,-3.00
7-November-2017,710.00,713.50,686.85,692.55,698.961182721489040447,331811,6119,231923009.00,82243,24.79,26.65,-17.45
6-November-2017,706.50,716.00,699.70,708.75,708.747667214581417601,803653,4753,569587189.00,505366,62.88,16.30,2.25
3-November-2017,706.00,712.80,704.30,708.90,709.175868963395878191,247076,3236,175220337.00,46288,18.73,8.50,2.90
2-November-2017,709.70,709.70,698.00,706.00,703.503379919318936015,366133,6287,257575803.00,79385,21.68,11.70,-3.70
1-November-2017,707.00,717.10,703.65,707.05,710.055779446017728773,477416,6032,338991990.00,126698,26.54,13.45,0.05
31-October-2017,725.00,729.90,697.00,703.65,710.356445903086834728,1096301,15324,778764482.00,273060,24.91,32.90,-21.35
